date,open,high,low,close,amount,volume,reserve
20101217,2896.77,2898.81,2881.0,2893.74,94717992960.0,81044837,27656653
20101220,2901.47,2911.56,2804.56,2852.92,148829650944.0,133646237,47382717
20101221,2857.59,2908.17,2846.63,2904.11,138778656768.0,126443459,9503485
20101222,2910.73,2917.2,2867.05,2877.9,127590596608.0,111527795,44302573
20101223,2874.2,2893.71,2849.84,2855.22,110854176768.0,101062517,49479823
20101224,2841.35,2853.49,2813.5,2835.16,97556463616.0,94833605,45940921
20101227,2842.81,2876.81,2774.54,2781.4,125178019840.0,113573302,54657100
20101228,2768.03,2775.15,2730.41,2732.99,98704146432.0,99402207,52428907
20101229,2735.48,2753.03,2721.48,2751.53,77247209472.0,73072702,8192768
20101230,2751.97,2768.13,2724.54,2759.58,87203594240.0,83045226,30671271
20101231,2759.16,2808.93,2758.13,2808.08,109728227328.0,94574604,2163575
20110104,2825.33,2855.4,2810.11,2852.65,147099287552.0,122603786,6161208
20110105,2833.12,2850.49,2824.3,2838.59,136605556736.0,115080017,28312006
20110106,2838.43,2853.88,2816.95,2824.2,114393079808.0,93262307,33948029
20110107,2820.66,2868.01,2807.87,2838.8,139308482560.0,130892453,28246484
20110110,2832.62,2847.36,2786.86,2791.81,112231858176.0,102350528,54067302
20110111,2783.48,2810.76,2770.34,2804.05,95790473216.0,91000761,32702870
20110112,2811.79,2828.47,2788.13,2821.31,89286860800.0,88306878,16712336
20110113,2830.53,2837.53,2810.87,2827.71,88898904064.0,82491773,34799988
20110114,2817.05,2817.05,2780.44,2791.34,91633254400.0,84545717,50725008
20110117,2772.45,2780.94,2698.78,2706.66,106820714496.0,108833416,57212990
20110118,2696.15,2715.41,2683.37,2708.98,68839817216.0,69954662,20906565
20110119,2707.82,2759.6,2700.81,2758.1,90985005056.0,88787872,1573772
20110120,2752.8,2752.8,2676.13,2677.65,96876167168.0,96939735,56361024
20110121,2668.68,2746.18,2667.29,2715.29,104579031040.0,110451977,12714705
20110124,2716.52,2736.11,2690.65,2695.72,97331437568.0,97761294,44040419
20110125,2691.69,2701.04,2661.45,2677.43,76698460160.0,79592280,42533125
20110126,2677.17,2710.74,2676.77,2708.81,68095148032.0,67051840,2949994
20110127,2690.82,2753.0,2677.21,2749.15,116641243136.0,117284233,8520457
20110128,2741.31,2759.44,2733.29,2752.75,99291856896.0,91330387,14418587
20110131,2751.53,2790.92,2748.54,2790.69,107657560064.0,98398464,8323853
20110201,2795.07,2805.05,2785.3,2798.96,90772496384.0,78654504,29622727
20110209,2778.7,2804.21,2764.87,2774.07,105899646976.0,95661044,40304955
20110210,2769.65,2819.06,2760.18,2818.16,118279651328.0,106859973,3081082
20110211,2815.12,2835.41,2807.6,2827.33,128777969664.0,116818535,17039992
20110214,2828.57,2906.26,2828.57,2899.13,182199173120.0,171236743,4653909
20110215,2900.43,2934.47,2892.64,2899.24,189514072064.0,168122250,35324260
20110216,2893.68,2924.19,2882.55,2923.9,161636286464.0,139229770,6751025
20110217,2929.26,2939.28,2905.03,2926.96,170609098752.0,141037734,29819322
20110218,2924.23,2924.23,2890.26,2899.79,143486877696.0,124413192,40567057
20110221,2886.54,2932.82,2884.19,2932.25,147746553856.0,130003746,4850499
20110222,2941.32,2944.41,2851.62,2855.52,194421161984.0,171422412,54394972
20110223,2844.99,2868.48,2839.2,2862.63,138999595008.0,120439994,12124881
20110224,2861.39,2881.54,2854.56,2878.6,138582360064.0,119196729,16777872
20110225,2876.78,2890.32,2848.65,2878.57,125575315456.0,109603081,30081458
20110228,2880.17,2906.17,2861.82,2905.05,149576318976.0,127274933,7865106
20110301,2906.28,2931.58,2901.55,2918.92,173892157440.0,148645028,22544950
20110302,2905.51,2924.96,2883.57,2913.81,167054180352.0,144173381,36897134
20110303,2918.73,2937.56,2900.76,2902.98,179827998720.0,164828972,45154532
20110304,2902.19,2944.46,2898.08,2942.31,146052792320.0,129271958,6226749
20110307,2952.72,3000.43,2952.72,2996.21,210234769408.0,177510040,11010788
20110308,2996.73,3001.62,2976.6,2999.94,170430955520.0,137269606,25428476
20110309,3002.55,3012.04,2989.34,3002.15,166821396480.0,135053915,32244128
20110310,2995.77,2995.77,2954.37,2957.14,168228782080.0,135238994,41812243
20110311,2942.42,2966.98,2927.68,2933.8,154274938880.0,127845915,41287962
20110314,2923.98,2939.65,2914.46,2937.63,153795985408.0,125582009,19989071
20110315,2927.98,2927.98,2850.94,2896.26,189815701504.0,172272612,48300228
20110316,2894.25,2934.02,2894.25,2930.8,167171293184.0,140044613,10683125
20110317,2906.95,2935.63,2885.65,2897.3,171981078528.0,147421745,50397349
20110318,2920.81,2930.61,2900.87,2906.89,128490897408.0,107808468,15860372
20110321,2913.91,2927.07,2895.15,2909.14,123623440384.0,105097981,34472315
20110322,2917.69,2923.39,2884.75,2919.14,121852993536.0,106469167,28967364
20110323,2919.02,2950.42,2911.63,2948.48,139787780096.0,122810341,7537443
20110324,2949.85,2958.66,2942.13,2946.71,138238558208.0,116307678,32833942
20110325,2948.54,2985.08,2946.7,2977.81,173562363904.0,153205491,16974467
